x,y
-19.54,-0.04
-19.48,-0.03
-19.50,0.03
-19.56,0.02
-19.53,-0.04
-19.53,0.02
-19.47,0.03
-19.51,-0.02
-19.53,0.04
-19.57,0.09
-19.52,0.13
-19.52,0.07
-19.57,0.03
-19.51,0.04
-19.46,0.08
-19.49,0.02
-19.54,0.05
-19.49,0.09
-19.50,0.15
-19.44,0.15
-19.46,0.20
-19.50,0.25
-19.52,0.23
-19.53,0.17
-19.47,0.19
-19.42,0.17
-19.47,0.15
-19.53,0.13
-19.59,0.12
-19.60,0.17
-19.64,0.22
-19.64,0.28
-19.59,0.24
-19.53,0.21
-19.59,0.19
-19.63,0.23
-19.63,0.23
-19.63,0.23
-19.68,0.23
-19.70,0.17
-19.73,0.22
-19.77,0.22
-19.74,0.22
-19.80,0.22
-19.81,0.22
-19.83,0.22
-19.87,0.22
-19.87,0.22
-19.81,0.21
-19.84,0.16
-19.89,0.18
-19.83,0.18
-19.78,0.15
-19.77,0.20
-19.78,0.26
-19.83,0.23
-19.82,0.17
-19.78,0.12
-19.76,0.18
-19.81,0.15
-19.85,0.10
-19.90,0.07
-19.91,0.13
-19.92,0.08
-19.90,0.02
-19.89,0.08
-19.83,0.07
-19.80,0.02
-19.85,0.00
-19.82,0.06
-19.77,0.02
-19.83,0.03
-19.78,0.00
-19.83,0.03
-19.86,-0.02
-19.92,-0.02
-19.91,0.04
-19.90,0.09
-19.93,0.14
-19.90,0.19
-19.88,0.25
-19.90,0.19
-19.87,0.24
-19.84,0.23
-19.80,0.19
-19.74,0.19
-19.71,0.14
-19.66,0.18
-19.64,0.12
-19.63,0.06
-19.68,0.03
-19.68,0.09
-19.62,0.11
-19.56,0.11
-19.61,0.15
-19.57,0.10
-19.52,0.08
-19.56,0.03
-19.57,0.09
-19.63,0.08
-19.67,0.13
-19.68,0.07
-19.66,0.12
-19.72,0.11
-19.77,0.09
-19.73,0.14
-19.69,0.09
-19.66,0.04
-19.61,0.06
-19.64,0.10
-19.65,0.04
-19.62,0.09
-19.65,0.14
-19.63,0.19
-19.57,0.18
-19.52,0.15
-19.58,0.15
-19.60,0.20
-19.55,0.24
-19.50,0.23
-19.52,0.18
-19.46,0.19
-19.41,0.22
-19.39,0.17
-19.44,0.15
-19.49,0.19
-19.51,0.25
-19.45,0.23
-19.44,0.17
-19.49,0.19
-19.54,0.23
-19.48,0.21
-19.42,0.19
-19.48,0.18
-19.53,0.14
-19.56,0.18
-19.53,0.23
-19.55,0.18
-19.61,0.18
-19.58,0.22
-19.52,0.20
-19.55,0.26
-19.52,0.23
-19.55,0.23
-19.60,0.20
-19.54,0.20
-19.49,0.24
-19.44,0.20
-19.46,0.26
-19.40,0.23
-19.46,0.23
-19.41,0.20
-19.42,0.26
-19.36,0.23
-19.38,0.17
-19.39,0.23
-19.33,0.23
-19.32,0.17
-19.38,0.18
-19.38,0.12
-19.43,0.15
-19.48,0.18
-19.53,0.21
-19.59,0.23
-19.53,0.23
-19.58,0.23
-19.64,0.22
-19.58,0.20
-19.57,0.26
-19.60,0.24
-19.55,0.21
-19.50,0.24
-19.50,0.18
-19.53,0.13
-19.58,0.15
-19.54,0.11
-19.51,0.16
-19.47,0.20
-19.45,0.26
-19.45,0.20
-19.41,0.15
-19.47,0.14
-19.43,0.19
-19.42,0.13
-19.46,0.18
-19.40,0.18
-19.39,0.24
-19.43,0.20
-19.47,0.15
-19.43,0.20
-19.43,0.26
-19.45,0.24
-19.45,0.23
-19.49,0.23
-19.45,0.23
-19.42,0.18
-19.36,0.14
-19.42,0.15
-19.48,0.12
-19.42,0.12
-19.47,0.16
-19.50,0.11
-19.44,0.11
-19.49,0.16
-19.48,0.22
-19.43,0.20
-19.49,0.21
-19.43,0.23
-19.39,0.19
-19.36,0.24
-19.34,0.23
-19.34,0.23
-19.34,0.17
-19.33,0.23
-19.33,0.23
-19.37,0.23
-19.37,0.23
-19.37,0.23
-19.42,0.20
-19.47,0.25
-19.43,0.23
-19.49,0.22
-19.54,0.25
-19.54,0.23
-19.60,0.22
-19.64,0.18
-19.70,0.18
-19.65,0.17
-19.66,0.23
-19.63,0.23
-19.69,0.22
-19.70,0.28
-19.70,0.24
-19.66,0.23
-19.66,0.23
-19.61,0.23
-19.56,0.20
-19.50,0.21
-19.45,0.24
-19.46,0.23
-19.46,0.17
-19.42,0.21
-19.36,0.23
-19.38,0.17
-19.44,0.19
-19.40,0.14
-19.45,0.18
-19.43,0.12
-19.37,0.13
-19.32,0.10
-19.31,0.04
-19.37,0.03
-19.43,0.02
-19.37,0.02
-19.32,0.04
-19.31,0.10
-19.29,0.15
-19.34,0.14
-19.31,0.09
-19.27,0.04
-19.27,0.10
-19.21,0.11
-19.22,0.17
-19.16,0.19
-19.22,0.16
-19.26,0.21
-19.29,0.26
-19.29,0.24
-19.24,0.20
-19.27,0.25
-19.23,0.23
-19.27,0.23
-19.30,0.18
-19.24,0.18
-19.21,0.23
-19.21,0.23
-19.27,0.22
-19.27,0.27
-19.23,0.23
-19.17,0.21
-19.22,0.25
-19.22,0.23
-19.17,0.23
-19.17,0.23
-19.13,0.23
-19.08,0.19
-19.06,0.24
-19.07,0.18
-19.02,0.22
-19.03,0.27
-19.03,0.24
-18.97,0.23
-19.02,0.23
-19.02,0.17
-19.08,0.18
-19.04,0.23
-19.05,0.23
-19.09,0.23
-19.11,0.17
-19.09,0.22
-19.09,0.22
-19.08,0.22
-19.10,0.17
-19.08,0.11
-19.03,0.09
-18.99,0.04
-18.94,0.07
-18.99,0.04
-19.05,0.05
-18.99,0.06
-19.00,0.12
-18.98,0.17
-18.98,0.23
-18.98,0.23
-18.98,0.23
-18.93,0.23
-18.97,0.23
-18.97,0.23
-18.94,0.17
-18.95,0.11
-18.95,0.05
-18.91,0.01
-18.91,0.07
-18.97,0.05
-19.03,0.05
-19.00,0.00
-18.95,0.02
-18.89,0.02
-18.93,0.05
-18.88,0.07
-18.82,0.08
-18.78,0.12
-18.74,0.07
-18.77,0.13
-18.74,0.18
-18.80,0.19
-18.77,0.25
-18.83,0.23
-18.83,0.23
-18.83,0.23
-18.82,0.23
-18.84,0.17
-18.87,0.21
-18.83,0.18
-18.78,0.21
-18.74,0.18
-18.68,0.18
-18.71,0.13
-18.65,0.16
-18.60,0.15
-18.58,0.09
-18.63,0.12
-18.57,0.11
-18.55,0.16
-18.61,0.16
-18.67,0.18
-18.63,0.13
-18.68,0.17
-18.72,0.21
-18.75,0.26
-18.77,0.24
-18.81,0.23
-18.83,0.18
-18.79,0.22
-18.79,0.22
-18.82,0.22
-18.82,0.22
-18.79,0.22
-18.83,0.22
-18.83,0.22
-18.80,0.22
-18.74,0.21
-18.72,0.26
-18.66,0.23
-18.61,0.23
-18.61,0.23
-18.63,0.17
-18.58,0.15
-18.64,0.13
-18.58,0.15
-18.63,0.18
-18.68,0.22
-18.68,0.22
-18.64,0.17
-18.64,0.11
-18.69,0.09
-18.72,0.14
-18.74,0.09
-18.70,0.13
-18.68,0.19
-18.63,0.21
-18.62,0.15
-18.61,0.21
-18.66,0.19
-18.72,0.21
-18.67,0.25
-18.62,0.22
-18.61,0.28
-18.61,0.24
-18.66,0.23
-18.70,0.23
-18.65,0.21
-18.59,0.23
-18.59,0.23
-18.60,0.23
-18.54,0.21
-18.54,0.27
-18.48,0.23
-18.48,0.23
-18.49,0.17
-18.51,0.23
-18.49,0.23
-18.52,0.17
-18.53,0.23
-18.48,0.23
-18.48,0.23
-18.45,0.23
-18.46,0.17
-18.52,0.16
-18.49,0.22
-18.50,0.16
-18.56,0.16
-18.61,0.13
-18.64,0.18
-18.62,0.23
-18.67,0.23
-18.69,0.23
-18.75,0.22
-18.74,0.28
-18.69,0.24
-18.73,0.20
-18.69,0.24
-18.74,0.22
-18.76,0.22
-18.70,0.22
-18.70,0.22
-18.68,0.22
-18.66,0.17
-18.60,0.17
-18.55,0.19
-18.50,0.23
-18.44,0.22
-18.48,0.19
-18.51,0.13
-18.50,0.19
-18.48,0.25
-18.53,0.21
-18.58,0.25
-18.55,0.23
-18.50,0.23
-18.54,0.23
-18.49,0.19
-18.48,0.25
-18.48,0.23
-18.48,0.23
-18.43,0.21
-18.47,0.25
-18.47,0.23
-18.52,0.20
-18.56,0.24
-18.56,0.23
-18.62,0.23
-18.59,0.23
-18.60,0.23
-18.60,0.23
-18.64,0.23
-18.68,0.23
-18.72,0.23
-18.72,0.23
-18.66,0.21
-18.68,0.16
-18.73,0.12
-18.79,0.13
-18.78,0.07
-18.74,0.03
-18.72,0.09
-18.72,0.03
-18.66,0.05
-18.61,0.08
-18.59,0.02
-18.65,0.04
-18.63,0.10
-18.57,0.08
-18.51,0.06
-18.55,0.10
-18.54,0.16
-18.53,0.22
-18.59,0.22
-18.54,0.26
-18.57,0.23
-18.57,0.23
-18.57,0.23
