x,y
-19.54,-0.04
-19.57,0.01
-19.53,0.06
-19.58,0.02
-19.64,0.00
-19.58,0.03
-19.52,0.04
-19.49,0.09
-19.44,0.07
-19.40,0.11
-19.34,0.11
-19.28,0.10
-19.22,0.08
-19.23,0.02
-19.19,0.06
-19.14,0.02
-19.08,0.02
-19.02,0.00
-18.96,0.00
-18.91,0.02
-18.89,0.08
-18.91,0.14
-18.86,0.18
-18.81,0.15
-18.75,0.17
-18.70,0.19
-18.64,0.22
-18.63,0.28
-18.67,0.24
-18.66,0.23
-18.66,0.23
-18.67,0.23
-18.62,0.19
-18.66,0.24
-18.61,0.22
-18.62,0.16
-18.58,0.11
-18.62,0.06
-18.65,0.11
-18.60,0.08
-18.65,0.12
-18.60,0.16
-18.58,0.10
-18.52,0.12
-18.52,0.18
-18.49,0.23
-18.44,0.23
-18.42,0.17
-18.36,0.20
-18.38,0.26
-18.32,0.23
-18.28,0.23
-18.29,0.17
-18.27,0.23
-18.33,0.20
-18.32,0.14
-18.26,0.15
-18.21,0.11
-18.17,0.06
-18.23,0.03
-18.17,0.05
-18.12,0.08
-18.08,0.12
-18.13,0.11
-18.11,0.05
-18.06,0.08
-18.01,0.04
-17.98,-0.01
-17.99,0.04
-17.98,0.10
-17.97,0.16
-17.92,0.16
-17.86,0.18
-17.81,0.15
-17.75,0.14
-17.69,0.13
-17.75,0.14
-17.69,0.12
-17.64,0.09
-17.66,0.15
-17.61,0.19
-17.56,0.21
-17.55,0.15
-17.50,0.12
-17.44,0.12
-17.48,0.17
-17.42,0.17
-17.36,0.17
-17.42,0.18
-17.36,0.17
-17.33,0.12
-17.27,0.12
-17.31,0.07
-17.37,0.07
-17.43,0.10
-17.42,0.04
-17.36,0.04
-17.30,0.05
-17.25,0.09
-17.20,0.10
-17.14,0.11
-17.09,0.06
-17.03,0.07
-17.00,0.12
-16.94,0.13
-16.88,0.10
-16.90,0.04
-16.84,0.03
-16.84,0.09
-16.78,0.10
-16.73,0.07
-16.72,0.01
-16.66,0.00
-16.67,0.06
-16.61,0.05
-16.55,0.07
-16.60,0.09
-16.60,0.04
-16.55,0.08
-16.50,0.06
-16.46,0.01
-16.48,0.07
-16.47,0.01
-16.41,0.02
-16.47,0.02
-16.42,0.00
-16.38,0.05
-16.35,0.00
-16.29,-0.02
-16.25,0.03
-16.28,0.08
-16.25,0.13
-16.27,0.19
-16.25,0.13
-16.23,0.18
-16.17,0.17
-16.17,0.11
-16.12,0.15
-16.18,0.15
-16.16,0.10
-16.10,0.09
-16.06,0.13
-16.10,0.09
-16.04,0.09
-16.02,0.15
-15.97,0.13
-16.02,0.09
-15.96,0.10
-15.91,0.06
-15.85,0.09
-15.79,0.10
-15.77,0.04
-15.76,0.10
-15.70,0.08
-15.64,0.06
-15.60,0.10
-15.56,0.14
-15.50,0.14
-15.51,0.20
-15.48,0.25
-15.43,0.28
-15.37,0.25
-15.42,0.22
-15.38,0.17
-15.32,0.18
-15.26,0.17
-15.26,0.23
-15.21,0.21
-15.16,0.18
-15.13,0.23
-15.15,0.18
-15.09,0.18
-15.08,0.12
-15.04,0.07
-14.98,0.07
-15.04,0.10
-15.03,0.04
-14.98,0.08
-15.01,0.02
-14.98,0.08
-14.94,0.04
-15.00,0.04
-14.99,0.10
-14.96,0.16
-14.94,0.10
-14.94,0.04
-14.89,0.00
-14.84,0.03
-14.80,0.08
-14.85,0.12
-14.80,0.14
-14.74,0.16
-14.68,0.16
-14.65,0.11
-14.71,0.10
-14.65,0.11
-14.59,0.09
-14.54,0.12
-14.50,0.16
-14.47,0.11
-14.41,0.09
-14.37,0.14
-14.39,0.19
-14.35,0.24
-14.29,0.24
-14.24,0.22
-14.18,0.22
-14.13,0.25
-14.14,0.20
-14.10,0.15
-14.04,0.18
-13.98,0.19
-13.93,0.17
-13.88,0.13
-13.90,0.19
-13.96,0.18
-13.91,0.14
-13.91,0.20
-13.85,0.18
-13.80,0.15
-13.79,0.21
-13.73,0.21
-13.69,0.16
-13.63,0.16
-13.57,0.16
-13.54,0.11
-13.48,0.11
-13.46,0.06
-13.40,0.07
-13.34,0.09
-13.29,0.06
-13.24,0.09
-13.21,0.15
-13.25,0.10
-13.22,0.15
-13.16,0.14
-13.13,0.09
-13.09,0.04
-13.10,-0.02
-13.15,-0.06
-13.12,-0.11
-13.10,-0.16
-13.06,-0.12
-13.00,-0.14
-12.94,-0.16
-12.90,-0.12
-12.85,-0.08
-12.80,-0.06
-12.74,-0.05
-12.68,-0.05
-12.72,-0.01
