x,y
-19.54,-0.04
-19.59,-0.01
-19.59,0.05
-19.63,0.09
-19.69,0.11
-19.75,0.12
-19.78,0.07
-19.78,0.01
-19.84,0.02
-19.85,-0.04
-19.85,-0.10
-19.86,-0.04
-19.91,0.00
-19.97,-0.01
-19.92,-0.05
-19.91,-0.11
-19.89,-0.16
-19.94,-0.14
-19.98,-0.19
-19.92,-0.20
-19.98,-0.19
-19.92,-0.17
-19.88,-0.21
-19.84,-0.26
-19.83,-0.20
-19.79,-0.16
-19.74,-0.20
-19.79,-0.17
-19.74,-0.19
-19.78,-0.23
-19.78,-0.28
-19.77,-0.34
-19.77,-0.28
-19.71,-0.30
-19.66,-0.27
-19.70,-0.32
-19.64,-0.33
-19.70,-0.32
-19.75,-0.36
-19.80,-0.33
-19.84,-0.37
-19.90,-0.37
-19.89,-0.43
-19.94,-0.46
-19.89,-0.43
-19.83,-0.45
-19.88,-0.47
-19.87,-0.42
-19.89,-0.36
-19.83,-0.36
-19.77,-0.37
-19.81,-0.32
-19.76,-0.28
-19.82,-0.25
-19.76,-0.28
-19.72,-0.32
-19.78,-0.33
-19.84,-0.34
-19.83,-0.28
-19.82,-0.22
-19.88,-0.20
-19.93,-0.18
-19.98,-0.22
-20.04,-0.21
-20.05,-0.27
-20.00,-0.25
-20.03,-0.30
-20.07,-0.26
-20.10,-0.31
-20.15,-0.28
-20.20,-0.24
-20.16,-0.29
-20.14,-0.23
-20.16,-0.17
-20.10,-0.18
-20.04,-0.18
-20.07,-0.23
-20.02,-0.26
-19.98,-0.30
-19.99,-0.25
-20.05,-0.28
-20.02,-0.22
-20.05,-0.28
-20.09,-0.32
-20.03,-0.29
-20.09,-0.28
-20.10,-0.34
-20.16,-0.36
-20.22,-0.35
-20.26,-0.31
-20.32,-0.32
-20.32,-0.28
-20.31,-0.22
-20.30,-0.28
-20.36,-0.28
-20.32,-0.33
-20.27,-0.30
-20.27,-0.25
-20.33,-0.23
-20.31,-0.17
-20.32,-0.23
-20.26,-0.25
-20.32,-0.24
-20.27,-0.21
-20.22,-0.23
-20.19,-0.29
-20.24,-0.32
-20.29,-0.36
-20.28,-0.42
-20.34,-0.43
-20.33,-0.43
-20.33,-0.41
-20.29,-0.45
-20.33,-0.49
-20.32,-0.54
-20.28,-0.50
-20.27,-0.56
-20.33,-0.56
-20.33,-0.54
-20.33,-0.60
-20.27,-0.59
-20.21,-0.60
-20.24,-0.65
-20.26,-0.60
-20.26,-0.66
-20.31,-0.62
-20.37,-0.61
-20.34,-0.56
-20.33,-0.60
-20.32,-0.54
-20.28,-0.58
-20.30,-0.64
-20.36,-0.63
-20.33,-0.59
-20.31,-0.54
-20.28,-0.58
-20.23,-0.63
-20.28,-0.59
-20.34,-0.58
-20.33,-0.57
-20.33,-0.53
-20.33,-0.53
-20.33,-0.53
-20.32,-0.52
-20.26,-0.52
-20.21,-0.50
-20.24,-0.45
-20.30,-0.45
-20.36,-0.44
-20.33,-0.38
-20.29,-0.34
-20.30,-0.28
-20.35,-0.25
-20.30,-0.28
-20.30,-0.22
-20.29,-0.16
-20.24,-0.19
-20.19,-0.16
-20.17,-0.22
-20.20,-0.16
-20.14,-0.15
-20.18,-0.11
-20.21,-0.16
-20.15,-0.16
-20.10,-0.14
-20.04,-0.11
-20.03,-0.17
-20.00,-0.12
-20.00,-0.06
-20.03,-0.01
-19.99,0.03
-19.97,0.09
-19.95,0.14
-20.00,0.17
-20.00,0.23
-20.01,0.17
-19.96,0.21
-19.94,0.15
-19.99,0.18
-19.98,0.24
-19.92,0.23
-19.90,0.23
-19.85,0.20
-19.86,0.26
-19.92,0.24
-19.98,0.22
-19.95,0.27
-20.00,0.24
-20.04,0.23
-20.03,0.23
-20.08,0.21
-20.03,0.18
-20.09,0.17
-20.05,0.13
-20.10,0.16
-20.16,0.17
-20.13,0.12
-20.17,0.17
-20.12,0.13
-20.06,0.14
-20.02,0.09
-19.97,0.06
-20.03,0.06
-19.97,0.07
-19.95,0.12
-19.90,0.16
-19.92,0.21
-19.90,0.16
-19.87,0.10
-19.82,0.12
-19.83,0.18
-19.87,0.22
-19.92,0.18
-19.98,0.17
-20.03,0.20
-19.98,0.17
-19.92,0.16
-19.89,0.11
-19.84,0.08
-19.78,0.11
-19.82,0.16
-19.78,0.11
-19.72,0.14
-19.73,0.08
-19.68,0.05
-19.67,-0.01
-19.68,-0.07
-19.70,-0.01
-19.65,-0.05
-19.71,-0.05
-19.65,-0.05
-19.64,0.01
-19.70,0.02
-19.70,0.08
-19.68,0.02
-19.65,0.07
-19.70,0.10
-19.64,0.09
-19.62,0.14
-19.57,0.12
-19.61,0.16
-19.67,0.15
-19.72,0.19
-19.69,0.14
-19.73,0.18
-19.73,0.24
-19.76,0.23
-19.76,0.23
-19.82,0.22
-19.84,0.16
-19.84,0.10
-19.82,0.05
-19.80,-0.01
-19.84,-0.05
-19.78,-0.06
-19.84,-0.06
-19.90,-0.08
-19.94,-0.04
-19.90,0.00
-19.86,0.04
-19.88,-0.02
-19.82,-0.03
-19.76,-0.04
-19.70,-0.02
-19.65,-0.05
-19.70,-0.01
-19.71,-0.07
-19.69,-0.12
-19.70,-0.18
-19.64,-0.16
-19.59,-0.18
-19.65,-0.18
-19.64,-0.24
-19.63,-0.18
-19.60,-0.24
-19.64,-0.19
-19.69,-0.17
-19.75,-0.16
-19.80,-0.13
-19.78,-0.07
-19.81,-0.12
-19.81,-0.18
-19.77,-0.14
-19.71,-0.14
-19.73,-0.09
-19.69,-0.04
-19.75,-0.03
-19.79,0.01
-19.75,0.06
-19.76,0.12
-19.75,0.06
-19.74,0.12
-19.68,0.11
-19.64,0.07
-19.64,0.13
-19.58,0.13
-19.63,0.09
-19.67,0.06
-19.73,0.04
-19.67,0.05
-19.73,0.06
-19.76,0.01
-19.72,-0.04
-19.67,-0.06
-19.71,-0.02
-19.73,0.04
-19.77,-0.01
-19.71,0.00
-19.65,-0.02
-19.71,0.00
-19.76,-0.04
-19.77,-0.10
-19.74,-0.05
-19.77,-0.10
-19.83,-0.10
-19.83,-0.16
